Date,Description,Reference,Withdrawal,Deposit,Balance
2023-10-23,INSURANCE,CHK3000,0.0,640.88,15640.88
2023-09-27,HOSTING - CLOUD HOSTING,CHK3001,0.0,4035.74,19676.62
2023-10-15,EQUIPMENT - COMPUTER WORLD,CHK3002,0.0,2173.36,21849.98
2023-10-23,RENT - LANDLORD PROPERTY,CHK3003,0.0,1492.25,23342.23
2023-10-04,ABC CORP,CHK3004,0.0,775.59,24117.82
2023-10-09,TRAINING COURSE,CHK3005,0.0,2732.32,26850.14
2023-10-04,REFUND - CLIENT REFUND,CHK3006,4058.87,0.0,22791.27
2023-10-20,JOHN SMITH,CHK3007,0.0,1965.17,24756.44
2023-10-25,TRAINING COURSE,CHK3008,0.0,2695.4,27451.84
2023-10-17,DEVELOPMENT - SOFTWARE DEV,CHK3009,0.0,1020.68,28472.52
2023-10-30,TRAVEL - AIRLINE COMPANY,CHK3010,4522.97,0.0,23949.55
2023-10-01,AIRLINE COMPANY,CHK3011,0.0,2564.26,26513.81
2023-10-20,PROPERTY CO,CHK3012,889.91,0.0,25623.9
2023-10-21,WATER AUTHORITY,CHK3013,4640.88,0.0,20983.02
2023-10-19,CLIENT PAYMENT - GLOBEX CORP,CHK3014,263.6,0.0,20719.42
2023-10-08,PROPERTY INS,CHK3015,477.86,0.0,20241.56
2023-10-21,RENT - REALTY MANAGEMENT,CHK3016,0.0,1064.12,21305.68
2023-10-12,EQUIPMENT,CHK3017,241.37,0.0,21064.31
2023-10-07,SOFTWARE - SOFTWARE CO,CHK3018,1298.9299999999998,0.0,19765.38
2023-10-20,TRAINING - TRAINING COURSE,CHK3019,3641.64,0.0,16123.74
2023-10-28,CONSULTING - JANE DOE,CHK3020,2814.17,0.0,13309.57
2023-10-08,DEVELOPMENT - SOFTWARE DEV,CHK3021,0.0,3647.71,16957.28
2023-10-18,SUNDRY ITEMS,CHK3022,1970.04,0.0,14987.24
2023-10-24,STAPLES,CHK3023,0.0,3575.78,18563.02
2023-10-07,MARKETING - DIGITAL MARKETING,CHK3024,1965.4299999999998,0.0,16597.59
2023-10-09,EQUIPMENT - OFFICE EQUIP,CHK3025,0.0,3069.93,19667.52
2023-10-23,OFFICE SUPPLIES - OFFICE DEPOT,CHK3026,4334.71,0.0,15332.81
2023-10-18,RENT - LANDLORD PROPERTY,CHK3027,0.0,202.25,15535.06
2023-10-02,TRAVEL - HOTEL CHAIN,CHK3028,0.0,3561.98,19097.04
2023-10-28,SOFTWARE - ADOBE INC,CHK3029,424.82,0.0,18672.22
2023-10-22,EQUIPMENT - OFFICE EQUIP,CHK3030,0.0,3243.42,21915.64
2023-10-28,MISCELLANEOUS,CHK3031,1351.21,0.0,20564.43
2023-10-05,MISCELLANEOUS - GENERAL EXPENSE,CHK3032,0.0,3855.1,24419.53
2023-10-14,CONSULTING - JANE DOE,CHK3033,1598.1,0.0,22821.43
2023-10-17,OFFICE SUPPLIES,CHK3034,0.0,4661.99,27483.42
2023-10-11,CLIENT PAYMENT - ACME INC,CHK3035,1878.48,0.0,25604.94
2023-10-08,JANE DOE,CHK3036,0.0,292.95,25897.89
2023-10-16,CLIENT REFUND,CHK3037,2227.04,0.0,23670.85
2023-10-01,MARKETING,CHK3038,4324.54,0.0,19346.31
2023-10-25,EQUIPMENT - TECH STORE,CHK3039,3657.19,0.0,15689.12
2023-10-14,UTILITY BILL,CHK3040,768.59,0.0,14920.53
2023-10-11,DIGITAL MARKETING,CHK3041,0.0,1012.83,15933.36
2023-10-03,ADOBE INC,CHK3042,1672.24,0.0,14261.12
2023-10-05,MARKETING - AD AGENCY,CHK3043,654.0,0.0,13607.12
2023-10-02,OFFICE SUPPLIES - STAPLES,CHK3044,130.52,0.0,13476.6
