Date,Description,Reference,Debit,Credit,Account
2023-10-05,Miscellaneous - GENERAL EXPENSE,PMT-2000,3855.1,0.0,Cash at Bank
2023-10-23,Insurance,PMT-2001,0.0,639.43,Cash at Bank
2023-10-04,Refund - CLIENT REFUND,INV-1002,0.0,4058.87,Cash at Bank
2023-10-13,Training - TRAINING COURSE,PMT-2003,3509.46,0.0,Cash at Bank
2023-10-15,Equipment - COMPUTER WORLD,PMT-2004,0.0,2173.36,Cash at Bank
2023-10-07,Software - SOFTWARE CO,PMT-2005,1297.37,0.0,Cash at Bank
2023-10-02,Marketing - AD AGENCY,PMT-2006,0.0,1333.88,Cash at Bank
2023-10-30,Travel - AIRLINE COMPANY,INV-1007,0.0,4522.97,Cash at Bank
2023-10-23,Rent - LANDLORD PROPERTY,PMT-2008,1500.25,0.0,Cash at Bank
2023-10-01,Hosting - CLOUD HOSTING,PMT-2009,4035.74,0.0,Cash at Bank
2023-10-21,Utility Bill,PMT-2010,0.0,4640.88,Cash at Bank
2023-10-01,Marketing,INV-1011,0.0,4330.95,Cash at Bank
2023-10-22,Equipment - OFFICE EQUIP,INV-1012,0.0,3243.42,Cash at Bank
2023-10-25,Equipment - TECH STORE,PMT-2013,0.0,3657.19,Cash at Bank
2023-10-21,Refund - CLIENT REFUND,INV-1014,3017.73,0.0,Cash at Bank
2023-10-17,Office Supplies,INV-1015,0.0,4653.49,Cash at Bank
2023-10-28,Software - ADOBE INC,PMT-2016,0.0,424.82,Cash at Bank
2023-10-19,Rent - REALTY MANAGEMENT,PMT-2017,0.0,1064.12,Cash at Bank
2023-10-30,Consulting - JANE DOE,PMT-2018,0.0,2814.17,Cash at Bank
2023-10-17,Development - SOFTWARE DEV,PMT-2019,0.0,1020.68,Cash at Bank
2023-10-08,Client Payment - ACME INC,PMT-2020,0.0,1878.48,Cash at Bank
2023-10-10,Training - TRAINING COURSE,INV-1021,0.0,3146.95,Cash at Bank
2023-10-24,Office Supplies,PMT-2022,0.0,3575.78,Cash at Bank
2023-10-14,Hosting,INV-1023,0.0,1046.12,Cash at Bank
2023-10-02,Travel - HOTEL CHAIN,PMT-2024,0.0,3556.83,Cash at Bank
2023-10-04,Marketing - AD AGENCY,PMT-2025,654.0,0.0,Cash at Bank
2023-10-16,Equipment,PMT-2026,0.0,241.37,Cash at Bank
2023-10-19,Client Payment - GLOBEX CORP,PMT-2027,0.0,263.6,Cash at Bank
2023-10-02,Office Supplies - STAPLES,PMT-2028,123.31,0.0,Cash at Bank
2023-10-09,Equipment - OFFICE EQUIP,INV-1029,0.0,3069.93,Cash at Bank
2023-10-14,Utility Bill,PMT-2030,0.0,766.45,Cash at Bank
2023-10-07,Marketing - DIGITAL MARKETING,PMT-2031,0.0,1971.06,Cash at Bank
2023-10-28,Miscellaneous,PMT-2032,0.0,1351.21,Cash at Bank
2023-10-23,Office Supplies - OFFICE DEPOT,PMT-2033,0.0,4334.71,Cash at Bank
2023-10-08,Development - SOFTWARE DEV,PMT-2034,0.0,3638.89,Cash at Bank
2023-10-20,Training - TRAINING COURSE,PMT-2035,0.0,3641.64,Cash at Bank
2023-10-13,Rent - LANDLORD PROPERTY,INV-1036,0.0,202.25,Cash at Bank
2023-10-14,Consulting - JANE DOE,PMT-2037,1598.1,0.0,Cash at Bank
2023-10-27,Refund - CLIENT REFUND,INV-1038,0.0,4002.78,Cash at Bank
2023-10-08,Insurance,PMT-2039,0.0,477.86,Cash at Bank
