Date,Description,Reference,Withdrawal,Deposit
2023-10-01,OFFICE SUPPLIES INC,CHK1000,1017.32,0.0
2023-10-02,ELECTRIC COMPANY,CHK1001,2722.96,0.0
2023-10-03,MARKETING SOLUTIONS,DEP1002,0.0,3912.91
2023-10-04,OFFICE SUPPLIES INC,DEP1003,0.0,2247.42
2023-10-05,TRAVEL EXPENSES,DEP1004,0.0,1949.77
2023-10-06,INSURANCE CO,CHK1005,1707.1,0.0
2023-10-07,CONSULTING SERVICES,CHK1006,3247.25,0.0
2023-10-08,OFFICE SUPPLIES INC,CHK1007,680.65,0.0
2023-10-09,TECH STORE,DEP1008,0.0,1568.22
2023-10-10,TRAINING CO,DEP1009,0.0,1016.16
2023-10-11,ABC CORP PAYMENT,CHK1010,1408.63,0.0
2023-10-12,XYZ LTD,CHK1011,2932.44,0.0
2023-10-13,MARKETING SOLUTIONS,DEP1012,0.0,8316.2
2023-10-14,ABC CORP PAYMENT,CHK1013,3326.15,0.0
2023-10-15,TRAVEL EXPENSES,CHK1014,1478.46,0.0
2023-10-16,SOFTWARE SUBSCRIPTION,CHK1015,231.01,0.0
2023-10-17,SOFTWARE SUBSCRIPTION,CHK1016,3941.63,0.0
2023-10-18,PROPERTY MGMT CO,DEP1017,0.0,1088.81
2023-10-19,XYZ LTD,CHK1018,3344.74,0.0
2023-10-20,ELECTRIC COMPANY,CHK1019,877.55,0.0
2023-10-21,XYZ LTD,CHK1020,2750.01,0.0
2023-10-22,ABC CORP PAYMENT,CHK1021,726.0,0.0
2023-10-23,WEB SERVICES INC,DEP1022,0.0,4267.89
2023-10-24,XYZ LTD,CHK1023,2578.0,0.0
2023-10-25,MARKETING SOLUTIONS,DEP1024,0.0,3053.69
2023-10-26,TRAINING CO,CHK1025,954.74,0.0
2023-10-27,OFFICE SUPPLIES INC,CHK1026,1634.6,0.0
2023-10-28,ABC CORP PAYMENT,DEP1027,0.0,8497.61
2023-10-29,WEB SERVICES INC,DEP1028,0.0,5967.86
2023-10-30,TECH STORE,CHK1029,2589.26,0.0
2023-10-31,ELECTRIC COMPANY,DEP1030,0.0,2370.32
2023-11-01,MARKETING SOLUTIONS,CHK1031,3000.7,0.0
2023-11-02,TECH STORE,CHK1032,1627.63,0.0
2023-11-03,SOFTWARE SUBSCRIPTION,CHK1033,596.41,0.0
2023-11-04,CONSULTING SERVICES,DEP1034,0.0,614.62
2023-11-05,ABC CORP PAYMENT,DEP1035,0.0,1607.84
2023-11-06,INSURANCE CO,CHK1036,300.93,0.0
2023-11-07,TECH STORE,CHK1037,1898.8,0.0
2023-11-08,XYZ LTD,CHK1038,3450.08,0.0
2023-11-09,OFFICE SUPPLIES INC,CHK1039,502.48,0.0
2023-11-10,MARKETING SOLUTIONS,CHK1040,3085.96,0.0
2023-11-11,RENT PAYMENT,DEP1041,0.0,4025.93
2023-11-12,CONSULTING SERVICES,DEP1042,0.0,6554.41
2023-11-13,WEB SERVICES INC,DEP1043,0.0,4605.16
2023-11-14,ELECTRIC COMPANY,CHK1044,470.32,0.0
2023-11-15,INSURANCE CO,DEP1045,0.0,5822.76
2023-11-16,TRAVEL EXPENSES,DEP1046,0.0,3490.44
2023-11-17,ELECTRIC COMPANY,CHK1047,3125.57,0.0
2023-11-18,MARKETING SOLUTIONS,CHK1048,2415.83,0.0
2023-11-19,CONSULTING SERVICES,DEP1049,0.0,8376.07
2023-11-20,PROPERTY MGMT CO,CHK1050,995.84,0.0
2023-11-21,SOFTWARE SUBSCRIPTION,CHK1051,3790.45,0.0
2023-11-22,ABC CORP PAYMENT,CHK1052,3273.29,0.0
2023-11-23,TRAINING CO,CHK1053,546.75,0.0
2023-11-24,INSURANCE CO,CHK1054,2221.72,0.0
2023-11-25,XYZ LTD,CHK1055,2446.05,0.0
2023-11-26,SOFTWARE SUBSCRIPTION,CHK1056,3033.3,0.0
2023-11-27,WEB SERVICES INC,DEP1057,0.0,2943.1
2023-11-28,INSURANCE CO,CHK1058,1780.5,0.0
2023-11-29,MARKETING SOLUTIONS,CHK1059,1029.23,0.0
2023-11-30,ABC CORP PAYMENT,DEP1060,0.0,5377.12
2023-12-01,SOFTWARE SUBSCRIPTION,CHK1061,78.4,0.0
2023-12-02,WEB SERVICES INC,CHK1062,954.32,0.0
2023-12-03,OFFICE SUPPLIES INC,CHK1063,329.89,0.0
2023-12-04,SOFTWARE SUBSCRIPTION,DEP1064,0.0,4471.65
