Vendor,Account,Bank_Status
Electric Company Utilities,Cash at Bank,Discrepancy Detected
Office Supplies Inc.,Cash at Bank,Matched
Office Depot,Cash at Bank,Discrepancy Detected
Office Supplies Inc.,Cash at Bank,Matched
Office Supplies Inc.,Cash at Bank,Discrepancy Detected
Office Depot,Cash at Bank,Matched
Tech Store,Cash at Bank,Matched
Software Solutions Inc.,Cash at Bank,Matched
XYZ Ltd,Cash at Bank,Matched
ABC Corporation,Cash at Bank,Matched
ABC Corp,Cash at Bank,Discrepancy Detected
Training Co,Cash at Bank,Not Matched
XYZ Limited,Cash at Bank,Matched
Software Solutions Inc.,Cash at Bank,Discrepancy Detected
Travel Agency,Cash at Bank,Not Matched
Travel Agency,Cash at Bank,Not Matched
Software Solutions Inc.,Cash at Bank,Discrepancy Detected
Catering Co,Cash at Bank,Not Matched
XYZ Ltd,Cash at Bank,Matched
Electric Company Utilities,Cash at Bank,Matched
XYZ Limited,Cash at Bank,Discrepancy Detected
XYZ Limited,Cash at Bank,Matched
Electric Company,Cash at Bank,Discrepancy Detected
Office Depot,Cash at Bank,Not Matched
ABC Corporation,Cash at Bank,Matched
Training Co,Cash at Bank,Not Matched
XYZ Limited,Cash at Bank,Matched
XYZ Ltd,Cash at Bank,Matched
ABC Corporation,Cash at Bank,Matched
Property Management Co,Cash at Bank,Discrepancy Detected
Software Solutions Inc.,Cash at Bank,Matched
Office Supplies Inc.,Cash at Bank,Matched
Office Depot,Cash at Bank,Not Matched
ABC Corporation,Cash at Bank,Discrepancy Detected
Software Solutions Inc.,Cash at Bank,Matched
Insurance Co,Cash at Bank,Not Matched
Property Management Co,Cash at Bank,Discrepancy Detected
Software Solutions Inc.,Cash at Bank,Matched
Tech Store,Cash at Bank,Discrepancy Detected
Tech Store,Cash at Bank,Matched
Training Co,Cash at Bank,Not Matched
ABC Corp,Cash at Bank,Matched
Electric Company,Cash at Bank,Discrepancy Detected
Electric Company,Cash at Bank,Discrepancy Detected
XYZ Limited,Cash at Bank,Matched
Office Supplies Inc.,Cash at Bank,Matched
Office Depot,Cash at Bank,Matched
Electric Company Utilities,Cash at Bank,Matched
Electric Company,Cash at Bank,Matched
