Date,Description,Reference,Debit,Credit
2023-09-28,Payment - ELECTRIC COMPANY,LED-2001,0.0,2722.96
2023-09-29,Payment - OFFICE SUPPLIES INC,LED-2000,0.0,1017.32
2023-10-01,Deposit - MARKETING SOLUTIONS,LED-2002,4019.14,0.0
2023-10-03,Deposit - OFFICE SUPPLIES INC,LED-2003,2247.42,0.0
2023-10-04,Payment - OFFICE SUPPLIES INC,LED-2007,0.0,680.65
2023-10-07,Deposit - TRAVEL EXPENSES,LED-2004,1949.77,0.0
2023-10-08,Payment - INSURANCE CO,LED-2005,0.0,1707.1
2023-10-08,Deposit - TECH STORE,LED-2008,1568.22,0.0
2023-10-09,Payment - CONSULTING SERVICES,LED-2006,0.0,3247.25
2023-10-09,Payment - ABC CORP PAYMENT,LED-2010,0.0,1408.63
2023-10-11,Deposit - MARKETING SOLUTIONS,LED-2012,8889.35,0.0
2023-10-11,Deposit - Training Co,LED-NM-3014,217.41,0.0
2023-10-12,Payment - XYZ LTD,LED-2011,0.0,2932.44
2023-10-13,Payment - SOFTWARE SUBSCRIPTION,LED-2016,0.0,3941.63
2023-10-13,Deposit - Travel Agency,LED-NM-3003,1032.32,0.0
2023-10-16,Payment - Travel Agency,LED-NM-3027,0.0,1114.4
2023-10-16,Payment - SOFTWARE SUBSCRIPTION,LED-2015,0.0,236.37
2023-10-17,Deposit - Catering Co,LED-NM-3016,720.82,0.0
2023-10-17,Payment - TRAVEL EXPENSES,LED-2014,0.0,1478.46
2023-10-20,Payment - ELECTRIC COMPANY,LED-2019,0.0,877.55
2023-10-20,Payment - XYZ LTD,LED-2018,0.0,3121.95
2023-10-21,Payment - XYZ LTD,LED-2020,0.0,2750.01
2023-10-21,Deposit - WEB SERVICES INC,LED-2022,4407.62,0.0
2023-10-22,Deposit - Office Depot,LED-NM-3013,408.28,0.0
2023-10-22,Payment - ABC CORP PAYMENT,LED-2021,0.0,726.0
2023-10-22,Deposit - Training Co,LED-NM-3018,525.8,0.0
2023-10-23,Payment - XYZ LTD,LED-2023,0.0,2578.0
2023-10-26,Deposit - MARKETING SOLUTIONS,LED-2024,3053.69,0.0
2023-10-28,Deposit - ABC CORP PAYMENT,LED-2027,8497.61,0.0
2023-10-28,Deposit - WEB SERVICES INC,LED-2028,6544.0,0.0
2023-10-28,Payment - TECH STORE,LED-2029,0.0,2589.26
2023-10-29,Payment - OFFICE SUPPLIES INC,LED-2026,0.0,1634.6
2023-10-29,Payment - Office Depot,LED-NM-3029,0.0,142.09
2023-11-01,Deposit - ABC CORP PAYMENT,LED-2035,1607.84,0.0
2023-11-01,Payment - MARKETING SOLUTIONS,LED-2031,0.0,3000.7
2023-11-02,Payment - Insurance Co,LED-NM-3019,0.0,987.53
2023-11-04,Deposit - RENT PAYMENT,LED-2041,4025.93,0.0
2023-11-05,Payment - SOFTWARE SUBSCRIPTION,LED-2033,0.0,596.41
2023-11-06,Payment - TECH STORE,LED-2037,0.0,1971.4
2023-11-06,Deposit - CONSULTING SERVICES,LED-2034,614.62,0.0
2023-11-07,Deposit - Training Co,LED-NM-3024,270.54,0.0
2023-11-07,Payment - INSURANCE CO,LED-2036,0.0,300.93
2023-11-08,Payment - TECH STORE,LED-2032,0.0,1627.63
2023-11-08,Deposit - INSURANCE CO,LED-2045,5822.76,0.0
2023-11-09,Payment - XYZ LTD,LED-2038,0.0,3450.08
2023-11-10,Payment - OFFICE SUPPLIES INC,LED-2039,0.0,502.48
2023-11-12,Payment - MARKETING SOLUTIONS,LED-2040,0.0,3085.96
2023-11-12,Payment - ELECTRIC COMPANY,LED-2044,0.0,470.32
2023-11-13,Deposit - CONSULTING SERVICES,LED-2042,6554.41,0.0
2023-11-13,Deposit - WEB SERVICES INC,LED-2043,4605.16,0.0
